Nazwa waluty,Kod waluty,AVG,date,test
bat (Tajlandia),1 THB,1270,2022-04-06,0.127
dolar amerykański,1 USD,42606,2022-04-06,4.2606
dolar australijski,1 AUD,32302,2022-04-06,3.2302
dolar Hongkongu,1 HKD,5436,2022-04-06,0.5436
dolar kanadyjski,1 CAD,34098,2022-04-06,3.4098
dolar nowozelandzki,1 NZD,29627,2022-04-06,2.9627
dolar singapurski,1 SGD,31348,2022-04-06,3.1348
euro,1 EUR,46539,2022-04-06,4.6539
forint (Węgry),100 HUF,12298,2022-04-06,1.2298
frank szwajcarski,1 CHF,45691,2022-04-06,4.5691
funt szterling,1 GBP,55802,2022-04-06,5.5802
hrywna (Ukraina)*),1 UAH,1467,2022-04-06,0.1467
jen (Japonia),100 JPY,34417,2022-04-06,3.4417
korona czeska,1 CZK,1902,2022-04-06,0.1902
korona duńska,1 DKK,6257,2022-04-06,0.6257
korona islandzka,100 ISK,33053,2022-04-06,3.3053
korona norweska,1 NOK,4862,2022-04-06,0.4862
korona szwedzka,1 SEK,4535,2022-04-06,0.4535
kuna (Chorwacja),1 HRK,6167,2022-04-06,0.6167
lej rumuński,1 RON,9412,2022-04-06,0.9412
lew (Bułgaria),1 BGN,23795,2022-04-06,2.3795
lira turecka,1 TRY,2891,2022-04-06,0.2891
nowy izraelski szekel,1 ILS,13233,2022-04-06,1.3233
peso chilijskie,100 CLP,5411,2022-04-06,0.5411
peso filipińskie,1 PHP,830,2022-04-06,8.3
peso meksykańskie,1 MXN,2130,2022-04-06,0.213
rand (Republika Południowej Afryki),1 ZAR,2911,2022-04-06,0.2911
real (Brazylia),1 BRL,9158,2022-04-06,0.9158
ringgit (Malezja),1 MYR,10108,2022-04-06,1.0108
rupia indonezyjska,10000 IDR,29676,2022-04-06,2.9676
rupia indyjska,100 INR,56325,2022-04-06,5.6325
won południowokoreański,100 KRW,3501,2022-04-06,0.3501
yuan renminbi (Chiny),1 CNY,6697,2022-04-06,0.6697
SDR (MFW),1 XDR,58386,2022-04-06,5.8386
